name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,12/31/2008
TotalAssets,"830,398,300,000","762,237,452,000","753,262,492,000","737,602,601,000","705,033,056,000","723,865,007,000","703,837,221,000","696,437,348,000","673,730,297,000","645,703,039,000","651,368,093,000","633,473,583,000","624,757,296,000","634,393,240,000","611,882,113,000","605,448,235,000","592,751,088,000","605,394,528,000","611,157,942,000","565,644,421,000","550,568,086,000","520,230,910,000","495,916,345,000","470,787,530,000","457,736,249,000","453,052,695,000","440,118,555,000","435,801,608,000","427,358,945,000","421,084,963,000","442,788,274,000","407,211,241,000","415,630,025,000","399,886,082,000","414,983,066,000","406,870,547,000","383,987,377,000","374,662,683,000","357,632,623,000","347,246,178,000","316,048,902,000","315,972,576,000","306,236,661,000","340,635,472,000"
TotalLiabilitiesNetMinorityInterest,"730,704,237,000","665,028,291,000","653,040,960,000","641,022,228,000","610,825,373,000","632,269,547,000","612,156,585,000","607,163,785,000","585,333,978,000","558,615,438,000","560,709,723,000","544,932,842,000","536,804,204,000","549,580,681,000","523,338,991,000","519,677,922,000","509,368,207,000","525,559,244,000","528,993,002,000","480,580,541,000","470,817,683,000","441,547,617,000","416,942,396,000","392,173,158,000","380,793,673,000","371,397,393,000","358,500,312,000","354,764,104,000","347,593,450,000","339,518,852,000","376,391,661,000","327,003,078,000","348,961,083,000","321,854,090,000","337,990,471,000","331,590,623,000","309,271,255,000","301,299,289,000","284,553,165,000","275,627,009,000","245,319,259,000","246,705,833,000","250,570,181,000","291,078,095,000"
TotalEquityGrossMinorityInterest,"99,694,063,000","97,209,161,000","100,221,532,000","96,580,373,000","94,207,683,000","91,595,460,000","91,680,636,000","89,273,563,000","88,396,319,000","87,087,601,000","90,658,370,000","88,540,741,000","87,953,092,000","84,812,559,000","88,543,122,000","85,770,313,000","83,382,881,000","79,835,284,000","82,164,940,000","85,063,880,000","79,750,403,000","78,683,293,000","78,973,949,000","78,614,372,000","76,942,576,000","81,655,302,000","81,618,243,000","81,037,504,000","79,765,495,000","81,566,111,000","66,396,613,000","80,208,163,000","66,668,942,000","78,031,992,000","76,992,595,000","75,279,924,000","74,716,122,000","73,363,394,000","73,079,458,000","71,619,169,000","70,729,643,000","69,266,743,000","55,666,480,000","48,756,557,000"
	StockholdersEquity,"99,393,128,000","96,650,580,000","99,565,960,000","96,017,666,000","93,651,748,000","91,002,875,000","91,074,252,000","88,704,961,000","87,920,485,000","86,650,707,000","89,906,799,000","87,715,091,000","87,188,464,000","84,087,055,000","87,863,972,000","85,337,982,000","82,769,472,000","79,400,222,000","81,749,060,000","84,667,681,000","79,336,243,000","78,303,120,000","78,563,254,000","78,325,437,000","76,632,680,000","81,366,201,000","81,370,158,000","80,753,001,000","79,477,661,000","81,316,851,000","65,790,348,000","80,183,370,000","66,104,875,000","78,013,032,000","76,981,541,000","75,269,683,000","74,705,858,000","73,355,318,000","73,072,375,000","71,615,701,000","70,728,261,000","69,265,405,000","55,660,828,000","48,356,147,000"
		CapitalStock,"57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","56,806,384,000","56,806,384,000","56,806,384,000","56,806,384,000","56,806,384,000","62,634,585,000","62,634,585,000","62,634,585,000","62,634,585,000","62,634,585,000","62,828,201,000","62,634,585,000","62,828,201,000","62,634,585,000","62,634,585,000","62,634,585,000","62,634,585,000","62,634,585,000","62,634,585,000","62,634,585,000","62,612,455,000","62,612,455,000","49,623,614,000","47,152,201,000"
			CommonStock,"57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","57,000,000,000","56,806,384,000","56,806,384,000","56,806,384,000","56,806,384,000","56,806,384,000","62,634,585,000","62,634,585,000","62,634,585,000","62,634,585,000","62,634,585,000","62,828,201,000","62,634,585,000","62,828,201,000","62,634,585,000","62,634,585,000","62,634,585,000","62,634,585,000","62,634,585,000","62,634,585,000","62,634,585,000","62,612,455,000","62,612,455,000","49,623,614,000","47,152,201,000"
		AdditionalPaidInCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"602,207,000",,"580,025,000",,,,,,,,,,,
		RetainedEarnings,"3,857,825,000","5,606,932,000","7,953,661,000","5,045,626,000","2,609,490,000","5,982,477,000","7,087,705,000","4,502,052,000","2,226,302,000","2,624,064,000","4,997,756,000","3,673,703,000","1,961,763,000","2,084,563,000","5,366,463,000","3,106,898,000","1,804,663,000","3,583,740,000","5,056,672,000","6,415,304,000","1,462,888,000","4,100,023,000","3,380,764,000","2,287,859,000","1,173,390,000","3,323,494,000","2,916,832,000","2,034,290,000","1,264,168,000","2,778,660,000","454,512,000","17,720,167,000","2,089,029,000","17,698,069,000","15,898,623,000","14,093,098,000","12,016,036,000","7,382,093,000","11,553,815,000","3,530,695,000","7,856,923,000","7,668,908,000","3,917,117,000","2,871,000"
		TreasuryStock,"794,579,000","681,135,000","641,199,000","614,808,000","522,677,000","461,432,000","365,965,000","356,891,000","102,715,000","148,440,000","26,340,000","677,069,000","436,603,000","514,034,000","444,789,000","449,086,000","422,430,000","423,953,000","621,529,000","487,199,000","456,870,000","445,501,000","367,104,000","459,907,000","404,776,000","291,707,000","256,443,000","165,632,000","153,214,000","170,562,000","168,146,000","167,538,000","147,414,000","112,768,000","100,949,000",,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"39,329,882,000","34,791,783,000","35,320,498,000","34,653,848,000","34,631,935,000","29,498,830,000","28,369,512,000","28,576,800,000","29,813,898,000","28,192,083,000","28,952,383,000","28,735,457,000","29,680,304,000","26,533,526,000","26,959,298,000","26,697,170,000","25,644,239,000","20,257,435,000","21,330,917,000","22,756,576,000","22,540,841,000","18,792,214,000","19,693,210,000","19,691,101,000","19,057,682,000","15,699,829,000","16,075,184,000","16,249,758,000","15,732,122,000","16,074,168,000",,"1,466,156,000",,"968,146,000","949,282,000","542,000,000","655,237,000","6,878,640,000","713,975,000","6,750,421,000","658,883,000","559,042,000","2,745,097,000","1,615,405,000"
			UnrealizedGainLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"892,667,000",
			OtherEquityAdjustments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,852,430,000","1,615,405,000"
		OtherEquityInterest,,"-67,000,000","-67,000,000","-67,000,000","-67,000,000","-1,017,000,000","-1,017,000,000","-1,017,000,000","-1,017,000,000","-1,017,000,000","-1,017,000,000","-1,017,000,000","-1,017,000,000","-1,017,000,000","-1,017,000,000","-1,017,000,000","-1,257,000,000","-1,017,000,000","-1,017,000,000","-1,017,000,000","-1,017,000,000","-950,000,000","-950,000,000",,,,,,,,"2,073,574,000","-1,470,000,000","755,034,000","-3,175,000,000","-2,400,000,000","-2,000,000,000","-600,000,000","-3,540,000,000","-1,830,000,000","-1,300,000,000","-400,000,000","-1,575,000,000","-625,000,000","-414,330,000"
	MinorityInterest,"300,935,000","558,581,000","655,572,000","562,707,000","555,935,000","592,585,000","606,384,000","568,602,000","475,834,000","436,894,000","751,571,000","825,650,000","764,628,000","725,504,000","679,150,000","432,331,000","613,409,000","435,062,000","415,880,000","396,199,000","414,160,000","380,173,000","410,695,000","288,935,000","309,896,000","289,101,000","248,085,000","284,503,000","287,834,000","249,260,000","606,265,000","24,793,000","564,067,000","18,960,000","11,054,000","10,241,000","10,264,000","8,076,000","7,083,000","3,468,000","1,382,000","1,338,000","5,652,000","400,410,000"
TotalCapitalization,"174,560,106,000","170,353,054,000","176,452,723,000","174,234,619,000","171,365,370,000","175,514,714,000","165,464,577,000","158,834,355,000","163,212,798,000","157,416,949,000","162,355,712,000","167,807,913,000","177,449,982,000","184,396,256,000","187,149,430,000","189,106,771,000","182,682,949,000","182,155,826,000","183,863,905,000","177,891,566,000","165,877,241,000","155,952,446,000","156,548,239,000","152,330,583,000","147,310,873,000","155,572,893,000","150,858,972,000","151,816,050,000","147,081,045,000","147,248,020,000","75,518,532,000","141,116,870,000","77,873,041,000","127,511,799,000","125,695,594,000","118,135,483,000","101,612,939,000","93,441,963,000","88,016,218,000","83,783,658,000","81,999,440,000","80,704,415,000",,"73,886,335,000"
CommonStockEquity,"99,393,128,000","96,650,580,000","99,565,960,000","96,017,666,000","93,651,748,000","91,002,875,000","91,074,252,000","88,704,961,000","87,920,485,000","86,650,707,000","89,906,799,000","87,715,091,000","87,188,464,000","84,087,055,000","87,863,972,000","85,337,982,000","82,769,472,000","79,400,222,000","81,749,060,000","84,667,681,000","79,336,243,000","78,303,120,000","78,563,254,000","78,325,437,000","76,632,680,000","81,366,201,000","81,370,158,000","80,753,001,000","79,477,661,000","81,316,851,000","65,790,348,000","80,183,370,000","66,104,875,000","78,013,032,000","76,981,541,000","75,269,683,000","74,705,858,000","73,355,318,000","73,072,375,000","71,615,701,000","70,728,261,000","69,265,405,000","55,660,828,000","48,356,147,000"
NetTangibleAssets,"68,843,882,000","66,054,792,000","69,173,494,000","65,830,571,000","63,627,119,000","59,309,700,000","61,155,783,000","58,815,282,000","57,779,462,000","54,769,359,000","59,451,471,000","57,330,383,000","56,902,342,000","53,787,588,000","57,755,476,000","55,321,683,000","52,837,726,000","49,365,082,000","51,704,351,000","54,357,466,000","48,636,408,000","47,135,291,000","48,274,851,000","49,250,295,000","47,622,711,000","50,924,753,000","52,231,068,000","51,617,459,000","50,241,661,000","49,296,528,000","47,801,009,000","48,182,234,000","46,924,172,000","46,577,952,000","45,869,047,000","43,189,403,000","42,756,456,000","41,392,699,000","41,404,908,000","39,985,473,000","39,140,821,000","37,647,466,000","24,678,763,000","19,906,239,000"
InvestedCapital,"174,560,106,000","170,353,054,000","176,452,723,000","174,234,619,000","171,365,370,000","175,514,714,000","165,464,577,000","158,834,355,000","163,212,798,000","157,416,949,000","162,355,712,000","167,807,913,000","177,449,982,000","184,396,256,000","187,149,430,000","189,106,771,000","182,682,949,000","182,155,826,000","183,863,905,000","177,891,566,000","165,877,241,000","155,952,446,000","156,548,239,000","152,330,583,000","147,310,873,000","155,572,893,000","150,858,972,000","151,816,050,000","147,081,045,000","147,248,020,000","89,307,757,000","141,116,870,000","90,411,728,000","127,511,799,000","125,695,594,000","118,135,483,000","101,612,939,000","93,441,963,000","88,016,218,000","83,783,658,000","81,999,440,000","80,704,415,000",,"73,886,335,000"
TangibleBookValue,"68,843,882,000","66,054,792,000","69,173,494,000","65,830,571,000","63,627,119,000","59,309,700,000","61,155,783,000","58,815,282,000","57,779,462,000","54,769,359,000","59,451,471,000","57,330,383,000","56,902,342,000","53,787,588,000","57,755,476,000","55,321,683,000","52,837,726,000","49,365,082,000","51,704,351,000","54,357,466,000","48,636,408,000","47,135,291,000","48,274,851,000","49,250,295,000","47,622,711,000","50,924,753,000","52,231,068,000","51,617,459,000","50,241,661,000","49,296,528,000","47,801,009,000","48,182,234,000","46,924,172,000","46,577,952,000","45,869,047,000","43,189,403,000","42,756,456,000","41,392,699,000","41,404,908,000","39,985,473,000","39,140,821,000","37,647,466,000","24,678,763,000","19,906,239,000"
TotalDebt,"75,166,978,000","73,702,474,000","76,886,763,000","78,216,953,000","77,713,622,000","84,511,839,000","74,390,325,000","70,129,394,000","75,292,313,000","70,766,242,000","72,448,913,000","80,092,822,000","90,261,518,000","100,309,201,000","99,285,458,000","103,768,789,000","99,913,477,000","102,755,604,000","102,114,845,000","93,223,885,000","86,540,998,000","77,649,326,000","77,984,985,000","74,005,146,000","70,678,193,000","74,206,692,000","69,488,814,000","71,063,049,000","67,603,384,000","65,931,169,000","23,517,409,000","60,933,500,000","24,306,853,000","49,498,767,000","48,714,053,000","42,865,800,000","26,907,081,000","20,086,645,000","14,943,843,000","12,167,957,000","11,271,179,000","11,439,010,000",,"25,530,188,000"
NetDebt,"55,037,485,000","53,575,110,000","61,918,684,000","62,388,855,000","53,207,039,000","52,795,494,000",,,,,,,,,,,"9,981,971,000","13,612,251,000","24,203,777,000","28,452,628,000","21,859,595,000","21,745,478,000","17,237,283,000","10,909,048,000","10,462,042,000","22,492,482,000","5,167,143,000","8,681,888,000","11,099,854,000","10,395,929,000","18,711,657,000","1,528,486,000","15,426,026,000","1,168,681,000",,,,,,,,,,"20,442,872,000"
ShareIssued,"7,498,531,000","7,532,997,625","7,498,531,051","7,498,531,000","7,498,531,000","7,498,531,051","7,498,531,000","7,498,531,000","7,498,531,000","7,498,531,051","7,498,531,000","7,563,082,000","7,563,083,000","7,563,082,417","7,563,083,000","7,563,082,000","7,563,083,000","7,563,082,417","7,600,840,000","7,600,840,000","7,600,840,000","7,600,840,325","7,600,840,000","7,600,840,000","7,778,582,024","7,778,583,379","7,416,635,771","7,416,635,771","7,416,635,771","7,420,978,357","7,416,635,771","7,416,635,772","7,416,635,771","7,409,860,752","7,416,635,772","7,416,635,772","7,416,635,772","7,416,635,770","7,416,635,772","7,416,635,772","7,416,635,772","7,416,635,772","6,321,425,723",
OrdinarySharesNumber,"7,460,637,000","7,498,531,051","7,466,843,877","7,468,079,000","7,471,275,000","7,471,897,051","7,476,411,000","7,476,701,000","7,492,865,000","7,486,841,051","7,494,855,000","7,502,370,000","7,520,111,000","7,511,510,417","7,516,415,000","7,514,070,000","7,520,123,000","7,522,646,417","7,532,528,000","7,541,480,000","7,546,294,000","7,541,616,325","7,550,672,000","7,550,148,000","7,726,680,507","7,740,554,619","7,384,236,746","7,397,190,607","7,398,414,372","7,400,784,066","7,396,746,408","7,396,816,565","7,398,920,267","7,402,746,972","7,404,075,013","7,416,635,772","7,416,635,772","7,416,635,770","7,416,635,772","7,416,635,772","7,416,635,772","7,416,635,772","6,321,425,723",
TreasurySharesNumber,"37,894,000","34,466,574","31,687,174","30,452,000","27,256,000","26,634,000","22,120,000","21,830,000","5,666,000","11,690,000","3,676,000","60,712,000","42,972,000","51,572,000","46,668,000","49,012,000","42,960,000","40,436,000","68,312,000","59,360,000","54,546,000","59,224,000","50,168,000","50,692,000","51,901,517","38,028,760","32,399,025","19,445,164","18,221,399","20,194,291","19,889,363","19,819,207","17,715,504","7,113,780","12,560,759",,,,,,,,,