name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
TotalRevenue,"5,108,000,000","4,991,000,000","5,888,000,000","4,373,000,000","4,031,000,000","5,522,000,000","10,846,000,000","14,501,000,000","15,688,000,000","14,820,000,000","73,621,000,000","54,139,000,000","78,569,000,000","59,389,000,000","64,896,000,000","58,958,000,000","45,444,000,000","36,949,000,000","27,470,000,000","28,662,000,000","30,143,000,000","20,239,000,000","18,145,000,000","12,932,000,000","13,564,000,000","11,163,000,000","10,215,000,000","11,962,000,000","12,782,000,000","13,975,000,000","14,616,000,000"
	OperatingRevenue,"5,108,000,000","4,991,000,000","5,888,000,000","4,373,000,000","4,031,000,000","5,522,000,000","10,846,000,000","14,501,000,000","15,688,000,000","14,717,000,000","72,321,000,000","53,470,000,000","72,128,000,000","59,389,000,000","64,896,000,000","58,596,000,000","45,135,000,000","36,678,000,000","27,214,000,000","28,615,000,000","30,143,000,000","20,239,000,000","18,145,000,000","12,932,000,000","13,564,000,000","11,163,000,000","10,215,000,000","11,962,000,000","12,782,000,000","13,975,000,000","14,616,000,000"
CostOfRevenue,"3,767,000,000","3,714,000,000","3,858,000,000","3,677,000,000","4,501,000,000","5,658,000,000","7,674,000,000","7,632,000,000","7,945,000,000","7,119,000,000","63,064,000,000","46,276,000,000","60,532,000,000","50,070,000,000","53,365,000,000","50,658,000,000","40,194,000,000","32,445,000,000","23,858,000,000","23,399,000,000","25,715,000,000","17,511,000,000","15,638,000,000","10,581,000,000","11,324,000,000","9,160,000,000","8,562,000,000","8,354,000,000","9,528,000,000","10,210,000,000","12,509,000,000"
GrossProfit,"1,341,000,000","1,277,000,000","2,030,000,000","696,000,000","-470,000,000","-136,000,000","3,172,000,000","6,869,000,000","7,743,000,000","7,701,000,000","10,557,000,000","7,863,000,000","18,037,000,000","9,319,000,000","11,531,000,000","8,300,000,000","5,250,000,000","4,504,000,000","3,612,000,000","5,263,000,000","4,428,000,000","2,728,000,000","2,507,000,000","2,351,000,000","2,240,000,000","2,003,000,000","1,653,000,000","3,608,000,000","3,254,000,000","3,765,000,000","2,107,000,000"
OperatingExpense,"727,000,000","754,000,000","832,000,000","914,000,000","927,000,000","2,068,000,000","1,775,000,000","1,963,000,000","1,537,000,000","3,040,000,000","4,761,000,000","4,273,000,000","9,602,000,000","2,662,000,000","2,564,000,000","2,998,000,000","2,580,000,000","2,420,000,000","2,232,000,000","2,309,000,000","2,152,000,000","1,681,000,000","1,651,000,000","1,221,000,000","1,215,000,000","1,309,000,000","1,229,000,000","3,198,000,000","2,912,000,000","3,383,000,000","1,026,000,000"
	SellingGeneralAndAdministration,"338,000,000","356,000,000","394,000,000","400,000,000","484,000,000","590,000,000","654,000,000","687,000,000","555,000,000","544,000,000","1,363,000,000","1,263,000,000","1,877,000,000","1,327,000,000","1,228,000,000","1,158,000,000","1,025,000,000","946,000,000","845,000,000","726,000,000","625,000,000","486,000,000","505,000,000","355,000,000","319,000,000","297,000,000","313,000,000","325,000,000","343,000,000","623,000,000",
		GeneralAndAdministrativeExpense,"338,000,000","356,000,000","394,000,000","400,000,000","484,000,000","590,000,000","654,000,000","687,000,000","555,000,000",,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"338,000,000","356,000,000","394,000,000","400,000,000","484,000,000","590,000,000","654,000,000","687,000,000","555,000,000",,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,,,,,,,,,,,,"307,000,000",,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,"2,266,000,000","2,965,000,000","2,623,000,000","2,178,000,000","1,613,000,000","1,518,000,000","1,358,000,000","1,217,000,000","1,175,000,000","1,201,000,000","1,236,000,000","1,245,000,000","950,000,000","941,000,000","664,000,000","693,000,000","817,000,000","721,000,000","727,000,000","793,000,000","875,000,000","1,026,000,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,"2,178,000,000","1,613,000,000","1,518,000,000","1,358,000,000","1,217,000,000","1,175,000,000","1,201,000,000","1,236,000,000","1,245,000,000","950,000,000","941,000,000","664,000,000","693,000,000","817,000,000","721,000,000","727,000,000","793,000,000","875,000,000","1,026,000,000"
	OtherTaxes,"305,000,000","311,000,000","299,000,000","183,000,000","168,000,000","234,000,000","406,000,000","352,000,000","289,000,000","230,000,000","433,000,000","387,000,000","482,000,000","394,000,000","371,000,000","482,000,000","338,000,000","299,000,000","258,000,000","275,000,000","282,000,000","245,000,000","205,000,000","202,000,000","203,000,000","195,000,000","195,000,000","2,146,000,000","1,776,000,000","1,885,000,000",
	OtherOperatingExpenses,"84,000,000","87,000,000","139,000,000","331,000,000","275,000,000","1,244,000,000","715,000,000","924,000,000","693,000,000",,,"485,000,000","5,065,000,000","-672,000,000","-553,000,000",,,,"-72,000,000","72,000,000",,,,,,,,,,,
OperatingIncome,"614,000,000","523,000,000","1,198,000,000","-218,000,000","-1,397,000,000","-2,204,000,000","1,397,000,000","4,906,000,000","6,206,000,000","4,661,000,000","5,796,000,000","3,590,000,000","8,435,000,000","6,657,000,000","8,967,000,000","5,302,000,000","2,670,000,000","2,084,000,000","1,380,000,000","2,954,000,000","2,276,000,000","1,047,000,000","856,000,000","1,130,000,000","1,025,000,000","694,000,000","424,000,000","410,000,000","342,000,000","382,000,000","1,081,000,000"
NetNonOperatingInterestIncomeExpense,"-270,000,000","-255,000,000","-248,000,000","-343,000,000","-365,000,000","-323,000,000","-270,000,000","-280,000,000","-219,000,000","-107,000,000","-499,000,000","-58,000,000",,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,"25,000,000","32,000,000","34,000,000","14,000,000","9,000,000","7,000,000","6,000,000","13,000,000",,"12,000,000","11,000,000",,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,,"280,000,000","280,000,000","377,000,000","379,000,000","332,000,000","277,000,000","286,000,000","232,000,000","107,000,000","511,000,000","69,000,000",,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,"244,000,000","226,000,000","270,000,000","335,000,000","267,000,000","238,000,000","274,000,000","219,000,000",,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-28,000,000","124,000,000","477,000,000","107,000,000","527,000,000","-431,000,000","234,000,000","304,000,000","126,000,000","-127,000,000","-175,000,000","-91,000,000","-1,448,000,000","803,000,000","508,000,000","362,000,000","309,000,000","271,000,000","300,000,000","-25,000,000","-628,000,000","666,000,000","327,000,000","-198,000,000","274,000,000","-1,194,000,000","352,000,000","-173,000,000","150,000,000","24,000,000","-21,000,000"
	GainOnSaleOfSecurity,,"4,000,000","9,000,000","61,000,000","15,000,000","34,000,000","33,000,000","25,000,000","11,000,000",,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,"64,000,000","87,000,000","225,000,000","256,000,000","175,000,000","145,000,000","424,000,000","423,000,000","370,000,000","462,000,000",,,"765,000,000","545,000,000","391,000,000","266,000,000","170,000,000","29,000,000",,,,,,,,,,,,,
	SpecialIncomeCharges,"-101,000,000","23,000,000","244,000,000","-222,000,000","322,000,000","-632,000,000","-222,000,000","-129,000,000","-244,000,000","-589,000,000","-175,000,000","-91,000,000","-2,213,000,000","258,000,000","117,000,000","96,000,000","139,000,000","242,000,000","300,000,000","-25,000,000","-628,000,000","666,000,000","327,000,000","-198,000,000","274,000,000","-1,194,000,000","352,000,000","-173,000,000","150,000,000","24,000,000","-21,000,000"
		ImpairmentOfCapitalAssets,,,,,,,,,,"310,000,000","479,000,000","0",,,,,,,,,,,,,,,,,,,
		WriteOff,"115,000,000","24,000,000","75,000,000","229,000,000","67,000,000","752,000,000","132,000,000","96,000,000","371,000,000",,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,"3,000,000",,"51,000,000",,,,"4,000,000",,"279,000,000","-304,000,000","91,000,000",,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,"17,000,000","50,000,000","319,000,000","58,000,000","389,000,000","120,000,000","-90,000,000","-29,000,000","127,000,000",,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,"10,000,000","-1,000,000","12,000,000","15,000,000","22,000,000","-1,000,000","-15,000,000","-11,000,000",,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"316,000,000","392,000,000","1,427,000,000","-454,000,000","-1,235,000,000","-2,958,000,000","1,361,000,000","4,930,000,000","6,113,000,000","4,427,000,000","5,122,000,000","3,441,000,000","6,973,000,000","6,849,000,000","8,979,000,000","4,781,000,000","1,984,000,000","1,596,000,000","925,000,000","2,077,000,000","914,000,000","978,000,000","452,000,000","672,000,000","991,000,000","-190,000,000","476,000,000","-55,000,000","201,000,000","65,000,000","779,000,000"
TaxProvision,"56,000,000","-88,000,000","331,000,000","376,000,000","905,000,000","-754,000,000","392,000,000","3,337,000,000","4,531,000,000","2,720,000,000","2,554,000,000","2,257,000,000","3,445,000,000","2,901,000,000","4,022,000,000","1,730,000,000","727,000,000","584,000,000","389,000,000","759,000,000","482,000,000","324,000,000","142,000,000","216,000,000","320,000,000","-107,000,000","155,000,000","-49,000,000","92,000,000","136,000,000","271,000,000"
NetIncomeCommonStockholders,"260,000,000","480,000,000","1,096,000,000","-5,723,000,000","-2,140,000,000","-2,204,000,000","3,046,000,000","1,753,000,000","1,582,000,000","2,946,000,000","2,568,000,000","1,463,000,000","3,528,000,000","3,956,000,000","5,234,000,000","3,032,000,000","1,261,000,000","1,321,000,000","516,000,000","157,000,000","432,000,000","654,000,000","310,000,000","456,000,000","664,000,000","-92,000,000","315,000,000","-35,000,000","-228,000,000","-78,000,000","494,000,000"
	NetIncome,"260,000,000","480,000,000","1,096,000,000","-5,723,000,000","-2,140,000,000","-2,204,000,000","3,046,000,000","1,753,000,000","1,582,000,000","2,946,000,000","2,568,000,000","1,463,000,000","3,528,000,000","3,956,000,000","5,234,000,000","3,032,000,000","1,261,000,000","1,321,000,000","516,000,000","157,000,000","432,000,000","654,000,000","310,000,000","456,000,000","664,000,000","-88,000,000","321,000,000","-29,000,000","-222,000,000","-71,000,000","508,000,000"
		NetIncomeIncludingNoncontrollingInterests,"260,000,000","480,000,000","1,096,000,000","-5,723,000,000","-2,140,000,000","-2,204,000,000","3,046,000,000","1,753,000,000","1,582,000,000","2,946,000,000","2,568,000,000","1,463,000,000","3,528,000,000","3,953,000,000","5,224,000,000","3,408,000,000","1,786,000,000","1,623,000,000","689,000,000","861,000,000","930,000,000","1,101,000,000","559,000,000","456,000,000","664,000,000","-88,000,000","321,000,000","-29,000,000","-222,000,000","-71,000,000","508,000,000"
			NetIncomeContinuousOperations,"260,000,000","480,000,000","1,096,000,000","-830,000,000","-2,140,000,000","-2,204,000,000","969,000,000","1,593,000,000","1,582,000,000","1,707,000,000","2,568,000,000","1,184,000,000","3,528,000,000","3,948,000,000","4,957,000,000","3,051,000,000","1,257,000,000","1,012,000,000","536,000,000","1,318,000,000","432,000,000","654,000,000","310,000,000","456,000,000","671,000,000","-83,000,000","321,000,000","-6,000,000","109,000,000","-71,000,000","508,000,000"
			NetIncomeDiscontinuousOperations,,"0","0","-4,893,000,000","0","0","2,077,000,000","160,000,000","0","1,239,000,000","0","279,000,000",,"8,000,000","277,000,000",,"4,000,000","305,000,000",,"-1,153,000,000",,,,,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,"-19,000,000",,"4,000,000","13,000,000","-8,000,000",,,,,,,,"-23,000,000","-331,000,000",,
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,,,"-33,000,000",,,,,,"-7,000,000","-5,000,000",,,,,
		MinorityInterests,,,,,,,,,,,,,,"3,000,000","10,000,000","-376,000,000","-525,000,000","-302,000,000","-173,000,000","-704,000,000","-498,000,000","-447,000,000","-249,000,000",,,,,,,,
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,,,,,"4,000,000","6,000,000","6,000,000","6,000,000","7,000,000","14,000,000"
DilutedNIAvailtoComStockholders,"260,000,000","480,000,000","1,096,000,000","-5,723,000,000","-2,140,000,000","-2,204,000,000","3,046,000,000","1,753,000,000","1,582,000,000","2,946,000,000","2,568,000,000","1,463,000,000","3,528,000,000","3,956,000,000","5,234,000,000","3,032,000,000","1,261,000,000","1,321,000,000","516,000,000","157,000,000","432,000,000","654,000,000","310,000,000","456,000,000","664,000,000","-92,000,000","315,000,000","-35,000,000","-228,000,000","-78,000,000","494,000,000"
BasicEPS,,,"1.338","-6.733","-2.527","-3.26","4.48","2.49","2.24","4.15","3.62","2.06","4.97","5.73","7.31","4.26","1.875","2.13","0.83","0.195","0.695","0.865","0.86","1.32","1.21","0.245","0.635","-0.06","-0.4","-0.155","0.97"
DilutedEPS,,,"1.3","-6.733","-2.527","-3.26","4.46","2.47","2.23","4.13","3.61","2.06","4.95","5.69","7.25","4.22","1.865","2.128","0.83","0.195","0.695","0.865","0.855","1.25","1.175","0.24","0.625","-0.06","-0.4","-0.155","0.97"
BasicAverageShares,,,"819,000,000","850,000,000","847,000,000","677,000,000","680,000,000","705,000,000","706,000,000","710,000,000","710,000,000","709,000,000","709,000,000","690,000,000","716,005,472","711,737,089","672,533,333","620,258,000","619,584,000","796,416,000","623,062,000","796,176,000","760,768,000","747,420,000","762,166,000","751,554,000","742,626,000","583,333,333","570,000,000","503,225,806","509,278,351"
DilutedAverageShares,,,"847,000,000","850,000,000","847,000,000","677,000,000","683,000,000","709,000,000","710,000,000","714,000,000","712,000,000","711,000,000","709,000,000","690,000,000","721,931,034","718,483,412","676,139,410","620,652,000","619,902,000","797,136,000","623,522,000","796,804,000","776,756,000","788,386,000","783,632,000","772,184,000","749,512,000","583,333,333","570,000,000","503,225,806","509,278,351"
TotalOperatingIncomeAsReported,"580,000,000","636,000,000","1,667,000,000","-133,000,000","-900,000,000","-2,691,000,000","1,599,000,000","5,204,000,000","6,332,000,000","4,813,000,000","5,317,000,000","3,590,000,000","7,023,000,000","6,640,000,000","8,967,000,000","5,302,000,000","2,670,000,000","2,084,000,000","1,366,000,000","2,954,000,000","2,276,000,000","1,047,000,000","1,101,000,000","1,130,000,000","1,025,000,000","35,000,000","424,000,000","410,000,000","342,000,000","382,000,000","1,081,000,000"
TotalExpenses,"4,494,000,000","4,468,000,000","4,690,000,000","4,591,000,000","5,428,000,000","7,726,000,000","9,449,000,000","9,595,000,000","9,482,000,000","10,159,000,000","67,825,000,000","50,549,000,000","70,134,000,000","52,732,000,000","55,929,000,000","53,656,000,000","42,774,000,000","34,865,000,000","26,090,000,000","25,708,000,000","27,867,000,000","19,192,000,000","17,289,000,000","11,802,000,000","12,539,000,000","10,469,000,000","9,791,000,000","11,552,000,000","12,440,000,000","13,593,000,000","13,535,000,000"
InterestIncome,,"25,000,000","32,000,000","34,000,000","14,000,000","9,000,000","7,000,000","6,000,000","13,000,000",,"12,000,000","11,000,000",,,,,,,,,,,,,,,,,,,
InterestExpense,,"280,000,000","280,000,000","377,000,000","379,000,000","332,000,000","277,000,000","286,000,000","232,000,000","107,000,000","511,000,000","69,000,000",,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-270,000,000","-255,000,000","-248,000,000","-343,000,000","-365,000,000","-323,000,000","-270,000,000","-280,000,000","-219,000,000","-107,000,000","-499,000,000","-58,000,000",,,,,,,,,,,,,,,,,,,
NetIncomeFromContinuingAndDiscontinuedOperation,"260,000,000","480,000,000","1,096,000,000","-5,723,000,000","-2,140,000,000","-2,204,000,000","3,046,000,000","1,753,000,000","1,582,000,000","2,946,000,000","2,568,000,000","1,463,000,000","3,528,000,000","3,956,000,000","5,234,000,000","3,051,000,000","1,261,000,000","1,317,000,000","536,000,000","165,000,000","432,000,000","654,000,000","310,000,000","456,000,000","671,000,000","-83,000,000","321,000,000","-6,000,000","109,000,000","-71,000,000","508,000,000"
NormalizedIncome,"343,101,265.823","460,290,000","901,190,000","-733,400,000","-2,342,200,000","-1,755,500,000","1,103,190,000","1,660,600,000","1,733,450,000","2,089,850,000","2,681,750,000","1,243,150,000","4,966,450,000","3,780,300,000","4,886,800,000","2,989,737,502.615","1,168,933,971.774","858,551,378.446","356,000,000","1,333,864,227.251","808,800,000","208,638,036.81","85,730,088.496","590,357,142.857","485,476,286.579","633,400,000","83,621,848.739","97,800,000","19,000,000","-85,400,000","521,694,480.103"
EBIT,"763,000,000","672,000,000","1,707,000,000","-77,000,000","-856,000,000","-2,626,000,000","1,638,000,000","5,216,000,000","6,345,000,000","4,534,000,000","5,633,000,000","3,510,000,000","8,435,000,000","6,657,000,000","8,967,000,000","5,302,000,000","2,670,000,000","2,084,000,000","1,380,000,000","2,954,000,000","2,276,000,000","1,047,000,000","856,000,000","1,130,000,000","1,025,000,000","694,000,000","424,000,000","410,000,000","342,000,000","382,000,000","1,081,000,000"
EBITDA,"763,000,000"
ReconciledCostOfRevenue,"3,767,000,000","3,714,000,000","3,858,000,000","3,677,000,000","4,501,000,000","5,658,000,000","7,674,000,000","7,632,000,000","7,945,000,000","7,119,000,000","63,064,000,000","46,276,000,000","60,532,000,000","50,070,000,000","53,365,000,000","50,658,000,000","40,194,000,000","32,445,000,000","23,858,000,000","23,399,000,000","25,715,000,000","17,511,000,000","15,638,000,000","10,581,000,000","11,324,000,000","9,160,000,000","8,562,000,000","8,354,000,000","9,528,000,000","10,210,000,000","12,509,000,000"
ReconciledDepreciation,,"2,397,000,000","2,441,000,000","2,372,000,000","2,395,000,000","2,957,000,000","2,861,000,000","2,790,000,000","2,478,000,000","2,266,000,000","2,965,000,000","2,623,000,000","2,178,000,000","1,613,000,000","1,518,000,000","1,358,000,000","1,217,000,000","1,175,000,000","1,201,000,000","1,236,000,000","1,245,000,000","950,000,000","941,000,000","664,000,000","693,000,000","817,000,000","721,000,000","727,000,000","793,000,000","875,000,000","1,026,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"260,000,000","480,000,000","1,096,000,000","-830,000,000","-2,140,000,000","-2,204,000,000","969,000,000","1,593,000,000","1,582,000,000","1,707,000,000","2,568,000,000","1,184,000,000","3,528,000,000","3,948,000,000","4,957,000,000","3,051,000,000","1,257,000,000","1,012,000,000","536,000,000","1,318,000,000","432,000,000","654,000,000","310,000,000","456,000,000","671,000,000","-83,000,000","321,000,000","-6,000,000","109,000,000","-71,000,000","508,000,000"
TotalUnusualItemsExcludingGoodwill,"-101,000,000","27,000,000","253,000,000","-161,000,000","337,000,000","-598,000,000","-189,000,000","-104,000,000","-233,000,000","-589,000,000","-175,000,000","-91,000,000","-2,213,000,000","258,000,000","117,000,000","96,000,000","139,000,000","242,000,000","300,000,000","-25,000,000","-628,000,000","666,000,000","327,000,000","-198,000,000","274,000,000","-1,194,000,000","352,000,000","-173,000,000","150,000,000","24,000,000","-21,000,000"
TotalUnusualItems,"-101,000,000","27,000,000","253,000,000","-161,000,000","337,000,000","-598,000,000","-189,000,000","-104,000,000","-233,000,000","-589,000,000","-175,000,000","-91,000,000","-2,213,000,000","258,000,000","117,000,000","96,000,000","139,000,000","242,000,000","300,000,000","-25,000,000","-628,000,000","666,000,000","327,000,000","-198,000,000","274,000,000","-1,194,000,000","352,000,000","-173,000,000","150,000,000","24,000,000","-21,000,000"
NormalizedEBITDA,"864,000,000","3,042,000,000","3,895,000,000","2,456,000,000","1,202,000,000","929,000,000","4,688,000,000","8,110,000,000","9,056,000,000","7,389,000,000","8,773,000,000","6,224,000,000","12,826,000,000","8,012,000,000","10,368,000,000","6,564,000,000","3,748,000,000","3,017,000,000","2,281,000,000","4,215,000,000","4,149,000,000","1,331,000,000","1,470,000,000","1,992,000,000","1,444,000,000","2,705,000,000","793,000,000","1,310,000,000","985,000,000","1,233,000,000","2,128,000,000"
TaxRateForCalcs,"0.177","0.27","0.23","0.4","0.4","0.25","0.29","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.4","0.362","0.366","0.366","0.4","0.365","0.4","0.331","0.314","0.321","0.323","0.4","0.326","0.4","0.4","0.4","0.348"
TaxEffectOfUnusualItems,"-17,898,734.177","7,290,000","58,190,000","-64,400,000","134,800,000","-149,500,000","-54,810,000","-36,400,000","-81,550,000","-206,150,000","-61,250,000","-31,850,000","-774,550,000","90,300,000","46,800,000","34,737,502.615","50,933,971.774","88,551,378.446","120,000,000","-9,135,772.749","-251,200,000","220,638,036.81","102,730,088.496","-63,642,857.143","88,476,286.579","-477,600,000","114,621,848.739","-69,200,000","60,000,000","9,600,000","-7,305,519.897"