name,ttm,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
TotalRevenue,"42,237,000,000",,,,,,,,,,,,"13,763,698,360","13,576,846,340","13,163,346,750","6,572,512,200","13,595,398,250","13,526,963,310","12,955,809,490","12,952,333,680","12,852,155,000","12,798,834,280","12,936,378,000","12,921,306,620","12,624,176,000","12,609,152,300","11,808,321,210","11,828,336,190","8,269,912,380","16,136,675,880","11,579,420,160","11,576,706,580","9,912,746,590","13,614,079,500","11,404,461,420","12,009,910,500","10,552,039,840","13,470,403,320","11,217,550,400","11,225,183,200","8,000,769,390","11,700,384,300","10,748,241,000","10,762,533,400","9,258,568,820","9,184,913,320","7,672,011,480","7,662,054,900","8,154,344,080","6,548,830,560","6,480,706,050","6,232,722,930","6,257,987,190","6,138,762,630","6,588,820,875","6,717,305,595","6,058,619,238","5,871,058,424","5,778,814,558","5,611,903,286"
	OperatingRevenue,"41,246,000,000",,,,,,,,,,,,"13,763,698,360","13,576,846,340","13,163,346,750","6,572,512,200","13,595,398,250","13,526,963,310","12,955,809,490","12,952,333,680","12,852,155,000","12,798,834,280","12,936,378,000","12,921,306,620","12,624,176,000","12,609,152,300","11,808,321,210","11,828,336,190","8,269,912,380","16,136,675,880","11,579,420,160","11,576,706,580","9,912,746,590","13,614,079,500","11,404,461,420","12,009,910,500","10,552,039,840","13,470,403,320","11,217,550,400","11,225,183,200","8,000,769,390","11,700,384,300","10,748,241,000","10,762,533,400","9,258,568,820","9,184,913,320","7,672,011,480","7,662,054,900","8,154,344,080","6,548,830,560","6,480,706,050","6,232,722,930","6,257,987,190","6,138,762,630","6,588,820,875","6,717,305,595","6,058,619,238","5,871,058,424","5,778,814,558","5,611,903,286"
CostOfRevenue,"17,897,000,000",,,,,,,,,,,,,,"5,636,441,500",,,,"5,514,918,050",,,,"5,529,069,000",,,,"4,653,289,620",,,,"4,232,014,080",,,,"4,301,225,390",,,,"4,558,891,400",,,,,,,,"2,800,893,080",,,,,,,,,,,,,
GrossProfit,"24,340,000,000",,,,,,,,,,,,,,"7,526,905,250",,,,"7,440,891,440",,,,"7,407,309,000",,,,"7,155,031,590",,,,"7,347,406,080",,,,"7,103,236,030",,,,"6,658,659,000",,,,,,,,"4,871,118,400",,,,,,,,,,,,,
OperatingExpense,"18,451,000,000",,,,,,,,,,,,,,"4,688,350,100",,,,"4,687,495,650",,,,"4,685,426,200",,,,"3,835,618,920",,,,"4,713,260,160",,,,"4,785,319,660",,,,"5,070,244,200",,,,,,,,"3,576,702,670",,,,,,,,,,,,,
	SellingGeneralAndAdministration,"8,494,000,000",,,,,,,,,,,,,,"2,879,859,400",,,,"2,999,406,200",,,,"2,753,969,400",,,,"2,339,859,690",,,,"2,787,456,000",,,,"2,748,994,930",,,,"3,088,248,800",,,,,,,,"2,100,669,810",,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"8,494,000,000"
			SalariesAndWages,"8,494,000,000"
	ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"129,534,720",,,,"119,937,180",,,,"140,924,000",,,,,,,,"107,080,620",,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"8,363,000,000",,,,,,,,,,,,,,"1,921,600,800",,,,"2,003,544,240",,,,"1,920,500,400",,,,"1,727,845,560",,,,"2,242,262,400",,,,"2,296,188,620",,,,"2,526,566,000",,,,,,,,"1,368,952,240",,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"8,363,000,000",,,,,,,,,,,,,,"1,921,600,800",,,,"2,003,544,240",,,,"1,920,500,400",,,,"1,727,845,560",,,,"2,242,262,400",,,,"2,296,188,620",,,,"2,526,566,000",,,,,,,,"1,368,952,240",,,,,,,,,,,,,
			DepreciationIncomeStatement,"8,363,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,795,449,600",,,,"1,872,062,940",,,,"1,794,767,800",,,,,,,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"446,812,800",,,,"424,125,680",,,,"731,798,200",,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"446,812,800",,,,"424,125,680",,,,"731,798,200",,,,,,,,,,,,,,,,,,,,,
	ProvisionForDoubtfulAccounts,"315,000,000"
	OtherTaxes,"1,794,000,000"
	OtherOperatingExpenses,"-515,000,000",,,,,,,,,,,,,,"-113,110,100",,,,"-315,454,790",,,,"10,956,400",,,,"-232,086,330",,,,"-445,992,960",,,,"-379,801,070",,,,"-685,494,600",,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"5,889,000,000",,,,,,,,,,,,"-29,083,127,620","13,576,846,340","2,838,555,150","6,572,512,200","-28,422,369,690","13,526,963,310","2,753,395,790","12,952,333,680","-31,294,652,850","12,798,834,280","2,721,882,800","12,921,306,620","-17,521,068,240","12,609,152,300","3,319,412,670","11,828,336,190","-28,036,484,180","16,136,675,880","2,634,145,920","11,576,706,580","-26,590,400,570","13,614,079,500","2,317,916,370","12,009,910,500","-21,135,165,630","13,470,403,320","1,588,414,800","11,225,183,200","-29,891,856,260","11,700,384,300","10,748,241,000","10,762,533,400","-19,639,539,520","9,184,913,320","1,294,415,730","7,662,054,900","-14,638,229,570","6,548,830,560","6,480,706,050","6,232,722,930","-14,284,297,530","6,138,762,630","6,588,820,875","6,717,305,595","-13,781,360,922","5,871,058,424","5,778,814,558","5,611,903,286"
NetNonOperatingInterestIncomeExpense,"-1,330,000,000"
	InterestExpenseNonOperating,"1,231,000,000"
	TotalOtherFinanceCost,"99,000,000"
OtherIncomeExpense,"116,000,000",,,,,,,,,,,,,,"-14,615,350",,,,"265,957,200",,,,"-89,999,000",,,,"45,426,150",,,,"-272,186,880",,,,"-933,424,140",,,,"-4,921,267,400",,,,,,,,"1,446,638,180",,,,,,,,,,,,,
	GainOnSaleOfSecurity,"72,000,000"
	EarningsFromEquityInterest,"8,000,000",,,,,,,,,,,,,,"-635,450",,,,"738,770",,,,"8,608,600",,,,,,,,"2,459,520",,,,"-55,623,040",,,,"-81,534,600",,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"36,000,000",,,,,,,,,,,,,,"-13,979,900",,,,"265,218,430",,,,"-98,607,600",,,,"45,426,150",,,,"-274,646,400",,,,"-877,801,100",,,,"-4,839,732,800",,,,,,,,"1,446,638,180",,,,,,,,,,,,,
		RestructuringAndMergernAcquisition,"132,000,000",,,,,,,,,,,,,,"101,036,550",,,,"22,163,100",,,,"53,216,800",,,,"86,722,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"14,000,000"
		OtherSpecialCharges,"95,000,000",,,,,,,,,,,,,,"-87,056,650",,,,"-287,381,530",,,,"45,390,800",,,,"-132,148,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,"277,000,000"
PretaxIncome,"4,675,000,000",,,,,,,,,,,,,,"1,971,801,350",,,,"1,925,234,620",,,,"1,817,197,200",,,,"2,186,236,710",,,,"937,896,960",,,,"-353,727,770",,,,"-4,931,333,400",,,,,,,,"2,490,149,320",,,,,,,,,,,,,
TaxProvision,"1,447,000,000",,,,,,,,,,,,,,"633,543,650",,,,"271,128,590",,,,"643,297,200",,,,"507,946,950",,,,"384,504,960",,,,"-1,612,199,050",,,,"1,146,517,400",,,,,,,,"579,495,120",,,,,,,,,,,,,
NetIncomeCommonStockholders,"2,740,000,000",,,,,,,,,,,,"710,411,290","696,503,140","1,338,257,700","748,430,580","1,504,824,110","1,496,143,950","1,654,106,030","1,653,569,040","890,501,390","884,879,080","1,173,900,000","1,172,339,210","1,164,211,700","1,162,834,810","1,678,289,760","1,680,945,970","722,286,300","973,861,980","553,392,000","553,552,120","229,142,530","487,258,800","1,258,471,280","1,325,282,000","-3,596,405,800","-4,894,185,780","-6,077,850,800","-6,081,837,300","-1,540,307,700","-2,251,382,700","-2,068,462,800","-2,070,771,700","-68,651,900","-77,088,880","1,910,654,200","1,908,451,200","907,608,760","743,547,600","578,091,150","555,970,590","583,888,500","572,764,500","614,756,250","626,744,250","574,351,638","556,730,524","547,983,383","532,155,811"
	NetIncome,"3,008,000,000",,,,,,,,,,,,"710,411,290","696,503,140","1,338,257,700","748,430,580","1,504,824,110","1,496,143,950","1,654,106,030","1,653,569,040","890,501,390","884,879,080","1,173,900,000","1,172,339,210","1,164,211,700","1,162,834,810","1,678,289,760","1,680,945,970","722,286,300","973,861,980","553,392,000","553,552,120","229,142,530","487,258,800","1,258,471,280","1,325,282,000","-3,596,405,800","-4,894,185,780","-6,077,850,800","-6,081,837,300","-1,540,307,700","-2,251,382,700","-2,068,462,800","-2,070,771,700","-68,651,900","-77,088,880","1,910,654,200","1,908,451,200","907,608,760","743,547,600","578,091,150","555,970,590","583,888,500","572,764,500","614,756,250","626,744,250","574,351,638","556,730,524","547,983,383","532,155,811"
		NetIncomeIncludingNoncontrollingInterests,"3,228,000,000",,,,,,,,,,,,"1,134,231,890","696,503,140","1,498,391,100","748,430,580","2,024,713,570","1,496,143,950","1,812,202,810","1,653,569,040","1,519,384,090","884,879,080","1,380,506,400","1,172,339,210","1,814,330,400","1,162,834,810","1,813,742,280","1,680,945,970","939,901,900","973,861,980","650,133,120","553,552,120","750,026,210","487,258,800","1,523,549,830","1,325,282,000","-3,766,034,460","-4,894,185,780","-6,039,600,000","-6,081,837,300","-2,255,114,460","-2,251,382,700","-2,068,462,800","-2,070,771,700","-120,824,160","-77,088,880","1,900,156,100","1,908,451,200","709,844,550","743,547,600","578,091,150","555,970,590","450,873,540","572,764,500","614,756,250","626,744,250","426,169,968","556,730,524","547,983,383","532,155,811"
			NetIncomeContinuousOperations,"3,228,000,000",,,,,,,,,,,,"710,411,290","696,503,140","1,338,257,700","748,430,580","1,504,824,110","1,496,143,950","1,654,106,030","1,653,569,040","-717,090,230","-718,619,520","1,173,900,000","1,172,339,210","1,164,211,700","1,162,834,810","1,678,289,760","1,680,945,970","722,286,300","973,861,980","553,392,000","553,552,120","229,142,530","487,258,800","1,258,471,280","1,325,282,000","-3,596,405,800","-4,894,185,780","-6,077,850,800","-6,081,837,300","-1,540,307,700","-2,251,382,700","-2,068,462,800","-2,070,771,700","-68,651,900","-77,088,880","1,910,654,200","1,908,451,200","907,608,760","743,547,600","578,091,150","555,970,590","583,888,500","572,764,500","614,756,250","626,744,250","574,351,638","556,730,524","547,983,383","532,155,811"
			NetIncomeDiscontinuousOperations,"0",,,,,,,,,,,,,,,,,,,,"1,607,591,620","1,603,498,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		MinorityInterests,"-220,000,000",,,,,,,,,,,,,,"-160,133,400",,,,"-158,096,780",,,,"-206,606,400",,,,"-135,452,520",,,,"-96,741,120",,,,"-265,078,550",,,,"-38,250,800",,,,,,,,"10,498,100",,,,,,,,,,,,,
	OtherunderPreferredStockDividend,"268,000,000"
AverageDilutionEarnings,"12,000,000"
DilutedNIAvailtoComStockholders,"2,752,000,000",,,,,,,,,,,,"710,411,290","696,503,140","1,338,257,700","748,430,580","1,504,824,110","1,496,143,950","1,654,106,030","1,653,569,040","890,501,390","884,879,080","1,173,900,000","1,172,339,210","1,164,211,700","1,162,834,810","1,678,289,760","1,680,945,970","722,286,300","973,861,980","553,392,000","553,552,120","229,142,530","487,258,800","1,258,471,280","1,325,282,000","-3,596,405,800","-4,894,185,780","-6,077,850,800","-6,081,837,300","-1,540,307,700","-2,251,382,700","-2,068,462,800","-2,070,771,700","-68,651,900","-77,088,880","1,910,654,200","1,908,451,200","907,608,760","743,547,600","578,091,150","555,970,590","583,888,500","572,764,500","614,756,250","626,744,250","574,351,638","556,730,524","547,983,383","532,155,811"
BasicEPS,,"0","0","0","0","0","0","0","0","0","0","0",,"0.266","0.257","0.257",,"0.575","0.635","0.635",,"0.341","0.45","0.45",,"0.456","0.679","0.68",,"0.396","0.23","0.23",,"0.141","0.754","0.794",,"-4.477","-5.636","-5.64",,"-2.042","-1.876","-1.879",,"-0.105","1.869","1.862",,"0.73","0.56","0.539",,"0.577","0.619","0.631",,"0.559","0.55","0.534"
DilutedEPS,,"0","0","0","0","0","0","0","0","0","0","0",,"0.266","0.257","0.257",,"0.575","0.635","0.62",,"0.336","0.44","0.44",,"0.441","0.654","0.655",,"0.39","0.225","0.225",,"0.141","0.719","0.757",,"-4.477","-5.636","-5.64",,"-2.042","-1.876","-1.879",,"-0.17","1.827","1.821",,"0.72","0.551","0.529",,"0.569","0.61","0.622",,"0.559","0.55","0.534"
BasicAverageShares,,,,,,,,,,,,,,"2,614,784,715","2,614,784,715","2,911,330,049",,"2,603,976,095","2,602,307,251","2,602,307,251",,"2,596,531,792","2,606,666,667","2,606,666,667",,"2,551,057,622","2,467,560,866","2,473,042,251",,"2,461,882,496","2,424,512,991","2,409,902,508",,"1,669,070,913","1,669,070,913","1,190,158,724",,"1,187,519,899","1,187,519,899","1,078,381,512",,"1,102,451,086","1,102,470,839","1,102,333,495",,"733,549,083","1,024,615,901","1,024,719,101",,"1,019,230,769","1,031,896,552","1,031,896,552",,"992,647,059","992,647,059","992,647,059",,"995,645,161","995,645,161","995,645,161"
DilutedAverageShares,,,,,,,,,,,,,,"2,614,784,715","2,614,784,715","2,911,330,049",,"2,603,976,095","2,762,661,322","2,762,661,322",,"2,634,295,097","2,665,909,091","2,665,909,091",,"2,636,632,799","2,651,622,721","2,567,456,109",,"2,499,484,004","2,436,004,518","2,462,983,026",,"1,848,384,444","1,848,384,444","1,190,158,724",,"1,187,519,899","1,187,519,899","1,078,381,512",,"1,102,451,086","1,102,470,839","1,102,333,495",,"1,024,615,901","1,024,615,901","1,048,275,862",,"1,032,467,532","1,050,000,000","1,050,000,000",,"1,007,461,183","1,007,462,687","1,007,461,183",,"995,645,161","995,645,161","995,645,161"
TotalOperatingIncomeAsReported,,,,,,,,,,,,,,,"2,737,518,600",,,,"2,731,232,690",,,,"2,668,666,000",,,,"3,232,690,020",,,,"2,634,145,920",,,,"2,317,916,370",,,,"1,588,414,800",,,,,,,,"1,294,415,730",,,,,,,,,,,,,
TotalExpenses,"36,348,000,000",,,,,,,,,,,,,,"10,324,791,600",,,,"10,202,413,700",,,,"10,214,495,200",,,,"8,488,908,540",,,,"8,945,274,240",,,,"9,086,545,050",,,,"9,629,135,600",,,,,,,,"6,377,595,750",,,,,,,,,,,,,
NetIncomeFromContinuingAndDiscontinuedOperation,"3,008,000,000",,,,,,,,,,,,"710,411,290","696,503,140","1,338,257,700","748,430,580","1,504,824,110","1,496,143,950","1,654,106,030","1,653,569,040","890,501,390","884,879,080","1,173,900,000","1,172,339,210","1,164,211,700","1,162,834,810","1,678,289,760","1,680,945,970","722,286,300","973,861,980","553,392,000","553,552,120","229,142,530","487,258,800","1,258,471,280","1,325,282,000","-3,596,405,800","-4,894,185,780","-6,077,850,800","-6,081,837,300","-1,540,307,700","-2,251,382,700","-2,068,462,800","-2,070,771,700","-68,651,900","-77,088,880","1,910,654,200","1,908,451,200","907,608,760","743,547,600","578,091,150","555,970,590","583,888,500","572,764,500","614,756,250","626,744,250","574,351,638","556,730,524","547,983,383","532,155,811"
NormalizedIncome,"2,933,447,600",,,,,,,,,,,,"710,411,290","696,503,140","1,347,745,830.648","748,430,580","1,504,824,110","1,496,143,950","1,426,238,008.216","1,653,569,040","-717,090,230","-718,619,520","1,237,600,000","1,172,339,210","1,164,211,700","1,162,834,810","1,643,417,853.389","1,680,945,970","722,286,300","973,861,980","718,179,840","553,552,120","229,142,530","487,258,800","1,785,151,940","1,325,282,000","-3,596,405,800","-4,894,185,780","-3,174,011,120","-6,081,837,300","-1,540,307,700","-2,251,382,700","-2,068,462,800","-2,070,771,700","-68,651,900","-77,088,880","800,670,436.256","1,908,451,200","907,608,760","743,547,600","578,091,150","555,970,590","583,888,500","572,764,500","614,756,250","626,744,250","574,351,638","556,730,524","547,983,383","532,155,811"
InterestExpense,"1,231,000,000"
NetInterestIncome,"-1,330,000,000"
EBIT,"5,906,000,000",,,,,,,,,,,,"-29,083,127,620","13,576,846,340","2,838,555,150","6,572,512,200","-28,422,369,690","13,526,963,310","2,753,395,790","12,952,333,680","-31,294,652,850","12,798,834,280","2,721,882,800","12,921,306,620","-17,521,068,240","12,609,152,300","3,319,412,670","11,828,336,190","-28,036,484,180","16,136,675,880","2,634,145,920","11,576,706,580","-26,590,400,570","13,614,079,500","2,317,916,370","12,009,910,500","-21,135,165,630","13,470,403,320","1,588,414,800","11,225,183,200","-29,891,856,260","11,700,384,300","10,748,241,000","10,762,533,400","-19,639,539,520","9,184,913,320","1,294,415,730","7,662,054,900","-14,638,229,570","6,548,830,560","6,480,706,050","6,232,722,930","-14,284,297,530","6,138,762,630","6,588,820,875","6,717,305,595","-13,781,360,922","5,871,058,424","5,778,814,558","5,611,903,286"
EBITDA,"14,269,000,000"
ReconciledCostOfRevenue,"17,911,000,000",,,,,,,,,,,,,,"5,636,441,500",,,,"5,514,918,050",,,,"5,529,069,000",,,,"4,653,289,620",,,,"4,232,014,080",,,,"4,301,225,390",,,,"4,558,891,400",,,,,,,,"2,800,893,080",,,,,,,,,,,,,
ReconciledDepreciation,"8,349,000,000",,,,,,,,,,,,,,"1,921,600,800",,,,"2,003,544,240",,,,"1,920,500,400",,,,"1,727,845,560",,,,"2,242,262,400",,,,"2,296,188,620",,,,"2,526,566,000",,,,,,,,"1,368,952,240",,,,,,,,,,,,,
NetIncomeFromContinuingOperationNetMinorityInterest,"3,008,000,000",,,,,,,,,,,,"710,411,290","696,503,140","1,338,257,700","748,430,580","1,504,824,110","1,496,143,950","1,654,106,030","1,653,569,040","-717,090,230","-718,619,520","1,173,900,000","1,172,339,210","1,164,211,700","1,162,834,810","1,678,289,760","1,680,945,970","722,286,300","973,861,980","553,392,000","553,552,120","229,142,530","487,258,800","1,258,471,280","1,325,282,000","-3,596,405,800","-4,894,185,780","-6,077,850,800","-6,081,837,300","-1,540,307,700","-2,251,382,700","-2,068,462,800","-2,070,771,700","-68,651,900","-77,088,880","1,910,654,200","1,908,451,200","907,608,760","743,547,600","578,091,150","555,970,590","583,888,500","572,764,500","614,756,250","626,744,250","574,351,638","556,730,524","547,983,383","532,155,811"
TotalUnusualItemsExcludingGoodwill,"108,000,000",,,,,,,,,,,,,,"-13,979,900",,,,"265,218,430",,,,"-98,607,600",,,,"45,426,150",,,,"-274,646,400",,,,"-877,801,100",,,,"-4,839,732,800",,,,,,,,"1,446,638,180",,,,,,,,,,,,,
TotalUnusualItems,"108,000,000",,,,,,,,,,,,,,"-13,979,900",,,,"265,218,430",,,,"-98,607,600",,,,"45,426,150",,,,"-274,646,400",,,,"-877,801,100",,,,"-4,839,732,800",,,,,,,,"1,446,638,180",,,,,,,,,,,,,
NormalizedEBITDA,"14,161,000,000",,,,,,,,,,,,"-29,083,127,620","13,576,846,340","4,774,135,850","6,572,512,200","-28,422,369,690","13,526,963,310","4,491,721,600","12,952,333,680","-31,294,652,850","12,798,834,280","4,740,990,800","12,921,306,620","-17,521,068,240","12,609,152,300","5,001,832,080","11,828,336,190","-28,036,484,180","16,136,675,880","5,151,054,720","11,576,706,580","-26,590,400,570","13,614,079,500","5,491,906,090","12,009,910,500","-21,135,165,630","13,470,403,320","8,954,713,600","11,225,183,200","-29,891,856,260","11,700,384,300","10,748,241,000","10,762,533,400","-19,639,539,520","9,184,913,320","1,216,729,790","7,662,054,900","-14,638,229,570","6,548,830,560","6,480,706,050","6,232,722,930","-14,284,297,530","6,138,762,630","6,588,820,875","6,717,305,595","-13,781,360,922","5,871,058,424","5,778,814,558","5,611,903,286"
TaxRateForCalcs,"0.31",,,,,,,,,,,,"0.4","0.4","0.321","0.4","0.4","0.4","0.141","0.4","0.4","0.4","0.354","0.4","0.4","0.4","0.232","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.233","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"33,447,600",,,,,,,,,,,,"0","0","-4,491,769.352","0","0","0","37,350,408.216","0","0","0","-34,907,600","0","0","0","10,554,243.389","0","0","0","-109,858,560","0","0","0","-351,120,440","0","0","0","-1,935,893,120","0","0","0","0","0","0","0","336,654,416.256","0","0","0","0","0","0","0","0","0","0","0","0","0"